timestamp,ecg_measurement
248080000,5.53875
248084000,5.535
248088000,5.53625
248092000,5.54125
248096000,5.54375
248100000,5.545
248104000,5.55
248108000,5.55375
248112000,5.55625
248116000,5.55875
248120000,5.55875
248124000,5.56375
248128000,5.56375
248132000,5.55875
248136000,5.56125
248140000,5.56375
248144000,5.57
248148000,5.575
248152000,5.58375
248156000,5.58875
248160000,5.595
248164000,5.5975
248168000,5.60125
248172000,5.60625
248176000,5.61625
248180000,5.61625
248184000,5.61875
248188000,5.62
248192000,5.61875
248196000,5.62
248200000,5.62375
248204000,5.625
248208000,5.6225
248212000,5.61375
248216000,5.61125
248220000,5.61125
248224000,5.61
248228000,5.605
248232000,5.6075
248236000,5.60625
248240000,5.6125
248244000,5.60875
248248000,5.60375
248252000,5.59875
248256000,5.5875
248260000,5.58
248264000,5.575
248268000,5.57
248272000,5.565
248276000,5.56125
248280000,5.55
248284000,5.545
248288000,5.53875
248292000,5.5375
248296000,5.53625
248300000,5.5325
248304000,5.53
248308000,5.52875
248312000,5.5275
248316000,5.5275
248320000,5.5225
248324000,5.5225
248328000,5.5275
248332000,5.52875
248336000,5.53375
248340000,5.53125
248344000,5.5325
248348000,5.53125
248352000,5.52875
248356000,5.52
248360000,5.515
248364000,5.51875
248368000,5.53125
248372000,5.5325
248376000,5.535
248380000,5.5325
248384000,5.52875
248388000,5.5325
248392000,5.53875
248396000,5.53375
248400000,5.52875
248404000,5.5225
248408000,5.5275
248412000,5.53
248416000,5.5225
248420000,5.52
248424000,5.52375
248428000,5.5175
248432000,5.51625
248436000,5.51375
248440000,5.51
248444000,5.51625
248448000,5.52125
248452000,5.5225
248456000,5.51375
248460000,5.5075
248464000,5.505
248468000,5.515
248472000,5.51
248476000,5.5125
248480000,5.5125
248484000,5.50625
248488000,5.50375
248492000,5.50375
248496000,5.50125
248500000,5.50375
248504000,5.5075
248508000,5.50375
248512000,5.505
248516000,5.50625
248520000,5.5075
248524000,5.51625
248528000,5.52625
248532000,5.53375
248536000,5.5325
248540000,5.52625
248544000,5.52125
248548000,5.53
248552000,5.5375
248556000,5.54625
248560000,5.55
248564000,5.55625
248568000,5.5625
248572000,5.56875
248576000,5.575
248580000,5.57125
248584000,5.56125
248588000,5.555
248592000,5.54875
248596000,5.53625
248600000,5.52875
248604000,5.52
248608000,5.5175
248612000,5.5125
248616000,5.50875
248620000,5.5075
248624000,5.5075
248628000,5.50875
248632000,5.50875
248636000,5.50375
248640000,5.5075
248644000,5.5075
248648000,5.50625
248652000,5.5
248656000,5.5025
248660000,5.5075
248664000,5.50875
248668000,5.50125
248672000,5.50625
248676000,5.54125
248680000,5.62375
248684000,5.74375
248688000,5.88125
248692000,6.00875
248696000,6.10875
248700000,6.1575
248704000,6.11875
248708000,6.01
248712000,5.87875
248716000,5.75875
248720000,5.6725
248724000,5.61875
248728000,5.585
248732000,5.56375
248736000,5.54125
248740000,5.52
248744000,5.51
248748000,5.50125
248752000,5.4925
248756000,5.4925
248760000,5.495
248764000,5.49625
248768000,5.495
248772000,5.5
248776000,5.49625
248780000,5.49625
248784000,5.49375
248788000,5.505
248792000,5.5075
248796000,5.50875
248800000,5.5075
248804000,5.51125
248808000,5.51625
248812000,5.52125
248816000,5.52125
248820000,5.525
248824000,5.53
248828000,5.53375
248832000,5.53
248836000,5.5275
248840000,5.5275
248844000,5.53
248848000,5.5375
248852000,5.545
248856000,5.5525
248860000,5.555
248864000,5.5525
248868000,5.5525
248872000,5.55375
248876000,5.55875
248880000,5.56625
248884000,5.5775
248888000,5.585
248892000,5.585
248896000,5.58
248900000,5.58
248904000,5.58625
248908000,5.5875
248912000,5.58875
248916000,5.5825
248920000,5.585
248924000,5.58375
248928000,5.5775
248932000,5.57875
248936000,5.5825
248940000,5.58375
248944000,5.58
248948000,5.575
248952000,5.575
248956000,5.57625
248960000,5.57875
248964000,5.57375
248968000,5.5675
248972000,5.5625
248976000,5.55625
248980000,5.55
248984000,5.5475
248988000,5.5425
248992000,5.535
248996000,5.53
249000000,5.52625
249004000,5.52375
249008000,5.5275
249012000,5.52125
249016000,5.50875
249020000,5.505
249024000,5.5
249028000,5.50875
249032000,5.50625
249036000,5.5075
249040000,5.50625
249044000,5.51375
249048000,5.51375
249052000,5.5125
